"(-12.259465873809193, -2.412443356717507, 0.0008594929826849)","linear: 
  x: -0.022222426538
  y: 0.00237325694112
  z: -0.0375718869422
angular: 
  x: -0.00278471923723
  y: 0.0947541395791
  z: 0.0125591257054","[40, 40]","[40, 40]","[40, 40]","[-1, -1]",0
"(-12.1582203526678, -2.407900456516155, 0.0040932370297541805)","linear: 
  x: 0.0236508916275
  y: 0.000777711724113
  z: 0.00674108363686
angular: 
  x: -7.50923083659e-06
  y: 0.00442933957008
  z: 0.00196926727224","[40, 40]","[12.871937224778144, 40]","[40, 40]","[2.397902141261443, 2.102097858738557]",0
